can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
True,True,100.0,100.0,500040,0,0,-2,2,-19.3,-7,"[{'offset': 0, 'projected_percent': '-19.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-20.1', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-20.7', 'likelihood': -2}]",,False,0,2,1.5,1.5,0,Cristhian,1.5,11,False,,2026-09-04T14:00:08.080310Z,53,500040.jpg,6.0,False,Mosquera,1.7,False,,a,1,3,12,30995,830,465773,7044,0.3,2.3,Mosquera,,200.0,2025-07-24,2004-06-27,False,p500040,168,0,0,2,0,0,0,0,0,0,0,0,52,24.6,2.0,0.0,2.7,10,3,0,10,2,0.00,0.01,0.01,0.53,,,,,,,[],,270,110,334,120,612,212,332,119,0.0,0.0,0.01,0.01,0.28,0.0,231,33,238,87,28,12,141,56,1.07,1.07,5.36
True,True,,,223340,0,0,0,0,80.6,62,"[{'offset': 0, 'projected_percent': '80.9', 'likelihood': 3}, {'offset': 1, 'projected_percent': '81.8', 'likelihood': 3}, {'offset': 2, 'projected_percent': '82.6', 'likelihood': 3}]",,False,0,3,5.8,5.8,2,Bukayo,5.8,12,False,,,95,223340.jpg,6.4,False,Saka,13.5,False,,a,1,3,32,753008,73386,384301,34450,0.6,3.4,Saka,,241.0,2018-11-28,2001-09-05,False,p223340,416,3,0,3,4,0,0,0,0,0,0,4,137,155.6,125.6,240.0,52.1,8,17,6,31,5,3.22,0.98,4.20,3.58,2.0,,2.0,,1.0,,[],,13,8,26,24,2,1,2,2,0.7,0.0,0.21,0.91,0.77,0.87,4,3,28,13,19,8,30,11,1.08,0.65,6.71
True,True,75.0,,204480,0,0,-1,1,-23.4,-508,"[{'offset': 0, 'projected_percent': '-24.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-27.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-31.1', 'likelihood': -2}]",,False,0,3,3.2,4.2,1,Declan,4.2,13,False,Unspecified injury - 75% chance of playing,2026-09-21T13:00:08.896379Z,74,204480.jpg,4.0,False,Rice,12.0,False,,d,1,3,20,118735,6889,693325,50651,0.6,2.7,Rice,,241.0,2023-07-15,1999-01-14,False,p204480,411,0,2,3,4,0,0,0,1,0,0,0,91,120.2,108.4,5.0,23.4,18,17,7,42,5,0.12,0.69,0.81,3.50,1.0,,1.0,,,,[],,43,16,37,32,298,155,61,40,0.03,0.0,0.15,0.18,0.77,0.88,18,11,67,27,100,40,35,14,1.09,0.66,9.2
True,True,,,232413,0,0,-2,2,-96.2,-30,"[{'offset': 0, 'projected_percent': '-97.6', 'likelihood': -4}, {'offset': 1, 'projected_percent': '-101.8', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-106.1', 'likelihood': -5}]",,False,0,3,0.8,0.8,1,Eberechi,0.8,14,False,,,63,232413.jpg,1.0,False,Eze,1.0,False,,a,1,3,4,22401,1482,137916,5072,0.1,0.6,Eze,,241.0,2025-08-23,1998-06-29,False,p232413,85,0,0,0,0,0,0,0,0,0,0,0,18,3.0,5.9,9.0,1.6,0,5,0,5,0,0.04,0.09,0.13,1.33,,,3.0,,,,[],,381,177,296,149,265,137,359,172,0.04,0.0,0.1,0.14,1.41,0.0,47,32,297,137,397,191,175,56,0.0,0.0,5.29
True,True,,,184029,0,0,3,-3,-2.5,8,"[{'offset': 0, 'projected_percent': '-2.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-2.4', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-2.3', 'likelihood': -1}]",,False,1,3,4.5,4.5,2,Martin,4.5,15,False,,,68,184029.jpg,5.8,False,Ødegaard,19.8,False,,a,1,3,29,1611246,55526,528170,68721,0.7,4.3,Ødegaard,,161.0,2021-08-20,1998-12-17,False,p184029,377,2,0,3,4,0,0,0,0,0,0,6,137,121.8,166.9,73.0,36.2,5,12,6,23,5,1.08,1.32,2.40,3.23,,,4.0,,3.0,,[],,40,14,10,9,57,35,17,13,0.26,0.0,0.32,0.58,0.77,0.95,31,20,60,24,36,17,18,8,1.19,0.72,5.49
True,True,,,248857,0,0,-3,3,-20.5,-4,"[{'offset': 0, 'projected_percent': '-21.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-24.3', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-27.1', 'likelihood': -2}]",,False,0,3,0.2,0.2,0,Noni,0.2,16,False,,,62,248857.jpg,1.0,False,Madueke,0.2,False,,a,1,3,2,5811,531,25617,1197,0.0,0.3,Madueke,,241.0,2025-07-18,2002-03-10,False,p248857,23,0,0,0,0,0,0,0,0,0,0,0,11,11.6,43.9,0.0,5.6,0,2,1,3,0,0.00,0.05,0.05,0.15,5.0,,,,,,[],,315,141,143,91,659,294,279,125,0.0,0.0,0.2,0.2,0.59,0.0,57,40,396,191,395,189,327,117,0.0,0.0,11.74
True,True,,,195384,0,0,-2,2,-88.9,-3,"[{'offset': 0, 'projected_percent': '-89.3', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-90.5', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-91.8', 'likelihood': -3}]",,False,0,3,0.8,0.8,1,Mikel,0.8,17,False,,,58,195384.jpg,0.8,False,Merino Zazón,0.4,False,,a,1,3,4,9215,478,47523,2233,0.1,0.7,Merino,,200.0,2024-08-27,1996-06-22,False,p195384,81,0,0,0,0,0,0,0,1,0,0,0,19,10.0,4.2,16.0,3.0,1,9,0,10,0,0.14,0.15,0.29,0.96,,,,,,,[],,325,147,313,160,214,117,322,149,0.16,0.0,0.17,0.33,1.07,0.0,99,63,293,136,410,195,273,91,0.0,0.0,11.11
True,True,,,481655,0,0,-2,2,-37.7,-6,"[{'offset': 0, 'projected_percent': '-38.2', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-39.5', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-40.9', 'likelihood': -3}]",,False,0,3,1.0,1.0,1,Martín,1.0,19,False,,,53,481655.jpg,1.0,False,Zubimendi Ibáñez,0.6,False,,a,1,3,5,8369,354,65762,2819,0.2,0.9,Zubimendi,,200.0,2025-07-06,1999-02-02,False,p481655,89,0,0,0,0,0,0,0,0,0,0,0,16,13.4,5.0,29.0,4.8,5,3,4,12,0,0.21,0.04,0.25,1.38,,,,,,,[],,303,131,303,154,155,82,295,133,0.21,0.0,0.04,0.25,1.4,0.0,228,143,267,123,365,165,236,73,0.0,0.0,12.13
True,True,,,616077,0,0,-2,2,-22.8,4,"[{'offset': 0, 'projected_percent': '-20.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-11.5', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-3.0', 'likelihood': -1}]",,False,0,3,0.2,0.2,1,Max,0.2,20,False,,,53,616077.jpg,1.0,False,Dowman,0.1,False,,a,1,3,1,2919,331,7137,418,0.0,0.2,Dowman,,241.0,2025-07-22,2009-12-31,False,p616077,9,0,0,0,0,0,0,0,0,0,0,0,4,2.0,14.8,0.0,1.7,0,0,0,0,0,0.00,0.08,0.08,0.31,,,,,,,[],,386,179,240,129,614,265,356,170,0.0,0.0,0.8,0.8,3.1,0.0,236,149,386,183,371,171,470,182,0.0,0.0,0.0
True,True,,,224117,-1,1,-4,4,-5.4,-32,"[{'offset': 0, 'projected_percent': '-5.7', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-6.6', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-7.4', 'likelihood': -1}]",,False,0,4,0.5,0.5,1,Viktor,0.5,25,False,,,71,224117.jpg,1.0,False,Gyökeres,3.1,False,,a,1,3,2,32318,4095,606706,12382,0.1,0.3,Gyökeres,,206.0,2025-07-26,1998-06-04,False,p224117,29,0,0,0,0,0,0,0,0,0,0,0,7,0.0,14.7,0.0,1.4,0,1,0,1,0,0.00,0.23,0.23,0.65,,,,,2.0,,[],,664,77,242,28,664,77,367,41,0.0,0.0,0.71,0.71,2.02,0.0,24,8,347,42,399,47,102,16,0.0,0.0,3.1
True,True,,,219847,0,0,1,-1,13.0,18,"[{'offset': 0, 'projected_percent': '13.1', 'likelihood': 1}, {'offset': 1, 'projected_percent': '13.4', 'likelihood': 1}, {'offset': 2, 'projected_percent': '13.6', 'likelihood': 1}]",,False,0,4,3.2,3.2,2,Kai,3.2,26,False,,,76,219847.jpg,3.8,False,Havertz,8.5,False,,a,1,3,19,646592,43359,395622,35150,0.4,2.5,Havertz,,80.0,2023-06-28,1999-06-11,False,p219847,437,2,0,3,4,0,0,0,1,0,0,2,82,89.4,71.3,165.0,32.6,6,7,0,13,5,1.67,0.37,2.04,3.91,,,,,,,[],,99,8,71,4,6,4,23,5,0.34,0.0,0.08,0.42,0.81,0.82,17,6,113,11,108,11,46,7,1.03,0.62,2.68
True,True,,,199798,1,-1,1,-1,0.5,42,"[{'offset': 0, 'projected_percent': '0.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '0.8', 'likelihood': 1}, {'offset': 2, 'projected_percent': '1.0', 'likelihood': 1}]",,False,0,2,3.0,3.0,1,Ezri,3.0,31,False,,,46,199798.jpg,3.0,False,Konsa Ngoyo,19.4,False,,a,1,3,12,1443274,69967,624057,32949,0.7,2.6,Konsa,,241.0,2026-08-21,1997-10-23,False,p199798,281,0,0,1,4,0,0,0,0,0,0,0,36,45.0,14.0,14.0,7.3,18,9,5,23,3,0.23,0.02,0.25,3.50,,,,,,,[],,204,80,250,90,225,73,244,93,0.07,0.0,0.01,0.08,1.12,1.28,423,80,116,47,138,59,19,5,0.96,0.32,7.37
True,True,100.0,100.0,208706,0,0,-3,3,0.3,1,"[{'offset': 0, 'projected_percent': '0.3', 'likelihood': 1}, {'offset': 1, 'projected_percent': '0.3', 'likelihood': 1}, {'offset': 2, 'projected_percent': '0.3', 'likelihood': 1}]",,False,0,3,2.2,2.2,1,Bruno,2.2,452,False,,2026-09-04T14:00:08.328779Z,67,208706.jpg,3.0,False,Guimarães Rodriguez Moura,1.8,False,,a,1,3,9,28673,3727,242716,5643,0.3,1.3,Bruno G.,Bruno Guimarães,30.0,2026-08-08,1997-11-16,False,p208706,123,1,0,0,3,0,0,0,0,0,0,1,45,41.0,6.5,19.0,6.6,3,8,1,12,1,0.09,0.16,0.25,2.18,4.0,,,,4.0,,[],,213,91,290,145,200,111,261,116,0.07,0.0,0.12,0.19,1.6,2.2,32,21,185,81,158,67,135,41,0.73,0.0,8.78
True,True,,,439509,-1,1,-2,2,-8.6,-152,"[{'offset': 0, 'projected_percent': '-8.9', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-10.0', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-11.0', 'likelihood': -1}]",,False,0,3,2.5,2.5,2,Christos,2.5,557,False,,,63,439509.jpg,3.2,False,Tzolis,12.4,False,,a,1,3,16,459086,8719,1581545,118337,0.4,2.5,Tzolis,,83.0,2026-07-23,2002-01-30,False,p439509,362,0,2,2,4,0,0,0,2,0,0,1,81,56.4,115.1,46.0,21.8,7,12,4,23,5,0.19,0.55,0.74,2.73,3.0,,,,,,[],,171,67,33,28,105,59,76,45,0.05,0.0,0.14,0.19,0.68,0.99,48,33,163,68,132,52,33,13,1.24,0.5,5.72
True,True,0.0,0.0,72147,0,0,0,0,-30.9,-2,"[{'offset': 0, 'projected_percent': '-31.3', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-32.3', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-33.4', 'likelihood': -2}]",,False,0,1,0.0,0.0,0,Marco,0.0,29,False,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,45,72147.jpg,1.0,False,Bizot,0.1,False,,i,2,7,1,4636,42,7152,776,0.0,0.2,M.Bizot,,152.0,2025-07-15,1991-03-10,False,p72147,90,0,0,0,4,0,0,0,0,0,3,0,1,28.2,0.0,0.0,2.8,2,6,0,0,1,0.00,0.00,0.00,3.77,,,,,,,[],https://www.avfc.co.uk/news/2026/september/18/prematch-team-news-for-spurs-showdown/,259,22,472,36,422,31,326,22,0.0,3.0,0.0,0.0,3.77,4.0,430,24,479,53,317,24,395,45,1.0,0.0,0.0
True,True,100.0,100.0,199796,0,0,-1,1,-18.2,-43,"[{'offset': 0, 'projected_percent': '-18.6', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-19.9', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-21.1', 'likelihood': -2}]",,False,0,2,1.8,1.8,-1,Matty,1.8,32,False,,2026-09-09T14:30:08.192142Z,44,199796.jpg,1.5,False,Cash,4.9,False,,a,2,7,6,94651,2000,413813,19824,0.4,1.4,Cash,,172.0,2020-09-03,1997-08-07,False,p199796,296,0,0,1,7,0,0,0,2,0,0,0,16,36.4,22.3,13.0,7.2,11,2,6,17,3,0.15,0.04,0.19,5.95,1.0,,,,,,[],,232,93,212,70,230,76,246,94,0.05,0.0,0.01,0.06,1.81,2.13,558,141,206,75,270,96,75,30,0.91,0.3,5.17
True,True,,,149484,0,0,0,0,0.6,5,"[{'offset': 0, 'projected_percent': '0.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '0.7', 'likelihood': 1}, {'offset': 2, 'projected_percent': '0.7', 'likelihood': 1}]",,False,0,2,2.2,2.2,3,Tyrone,2.2,33,False,,,45,149484.jpg,2.5,False,Mings,0.4,False,,a,2,7,10,15945,1225,17027,1003,0.5,2.2,Mings,,241.0,2019-07-08,1993-03-13,False,p149484,261,0,0,1,4,0,0,0,1,0,0,0,43,59.8,5.6,17.0,8.2,20,7,4,24,2,0.20,0.02,0.22,4.43,,,,,,,[],,166,71,297,107,207,63,232,85,0.07,0.0,0.01,0.08,1.53,1.38,440,88,169,66,188,74,271,99,0.69,0.34,8.28
True,True,0.0,0.0,244954,0,0,0,0,-89.0,-7,"[{'offset': 0, 'projected_percent': '-89.4', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-90.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-91.8', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,Pau,0.8,34,False,Hamstring injury - Expected back 10 Oct,2026-09-12T18:00:08.712707Z,45,244954.jpg,1.0,False,Torres,0.3,False,,i,2,7,3,11217,24,26807,2449,0.2,0.7,Pau,,200.0,2023-07-12,1997-01-16,False,p244954,187,0,0,0,5,0,0,0,0,0,0,0,-4,11.2,1.9,2.0,1.5,8,9,1,9,3,0.00,0.01,0.01,4.79,,,,,,,[],https://www.avfc.co.uk/news/2026/september/18/prematch-team-news-for-spurs-showdown/,318,121,335,121,320,120,360,125,0.0,0.0,0.0,0.0,2.31,2.41,469,109,279,102,318,121,291,106,1.44,0.0,4.33
True,True,,,515597,-1,1,-1,1,-0.6,-2,"[{'offset': 0, 'projected_percent': '-1.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-4.3', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-7.0', 'likelihood': -1}]",,False,0,3,0.0,0.0,0,Lamare,0.0,35,False,,,49,515597.jpg,1.0,False,Bogarde,0.1,False,,a,2,7,1,2875,134,4667,339,0.0,0.2,Bogarde,,152.0,2021-01-07,2004-01-05,False,p515597,16,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.22,,,,,,,[],,385,178,372,185,540,221,394,183,0.0,0.0,0.0,0.0,1.24,0.0,389,232,576,241,340,148,477,187,0.0,0.0,5.62
True,True,0.0,0.0,441302,0,0,0,0,-101.8,-10,"[{'offset': 0, 'projected_percent': '-102.1', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-103.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-104.1', 'likelihood': -5}]",,False,0,2,0.0,0.0,0,Ian,2.2,36,False,Ankle injury - Unknown return date,2026-09-12T18:00:08.729468Z,45,441302.jpg,2.2,False,Maatsen,0.5,False,,i,2,7,9,31882,40,60624,4886,0.5,2.0,Maatsen,,152.0,2024-06-28,2002-03-10,False,p441302,335,0,0,1,7,0,0,0,1,0,0,1,22,34.8,24.5,43.0,10.2,17,10,7,24,4,0.28,0.45,0.73,6.54,,,,,,,[],https://www.avfc.co.uk/news/2026/september/18/prematch-team-news-for-spurs-showdown/,237,96,200,65,110,25,207,74,0.08,0.0,0.12,0.2,1.76,1.88,475,114,171,67,207,83,248,93,1.07,0.27,6.45
